Date,Region,New_Tests,Total_Tests,Avg_Testing_Rate,Positivity,Turn_Around,Tests_epi_week
2020-03-26,Vancouver Coastal,564,12692,598.7142857142857,5.63,12.6,3912
2020-03-26,Vancouver Island,379,4639,285.2857142857143,2.5,31,2021
2020-03-27,BC,2005,38876,2176.714285714286,3.97,31,15059
2020-03-27,Fraser,701,13958,761.8571428571429,4.28,31,5534
2020-03-27,Interior,377,5392,441.42857142857144,2.49,43.8,2897
2020-03-27,Northern,112,1358,96.71428571428571,1.92,79,694
2020-03-27,Unknown,0,0,NA,0,0,0
2020-03-27,Vancouver Coastal,435,13127,576.4285714285714,5.97,17,3912
2020-03-27,Vancouver Island,380,5019,300.14285714285717,2.19,31,2021
2020-03-28,BC,1935,40811,2151.285714285714,3.77,31,15059
2020-03-28,Fraser,692,14650,790.5714285714286,3.78,32.6,5534
2020-03-28,Interior,440,5832,413.85714285714283,2.62,42.8,2897
2020-03-28,Northern,99,1457,99.14285714285714,1.73,79,694
2020-03-28,Unknown,0,0,NA,0,0,0
2020-03-28,Vancouver Coastal,393,13520,558.8571428571429,5.78,18.6,3912
2020-03-28,Vancouver Island,311,5330,288.7142857142857,2.18,31,2021
2020-03-29,BC,1426,42237,2077,3.78,27.2,8027
